id,temperature,soiling_ratio,voltage,current,module_temperature,efficiency,voltage_v,current_a,light_lux,temperature_c,power_w,fault_label
,,,,,,,24.35,3.07,7122,49.3,74.73,Shaded
18506,26.9407546454233,0.47209490731295,0,0.0483971481028566,32.8846318890535,0.4925342708825,32.62,6.98,60205,32.8,227.69,Normal
8032,,0.837620644931822,48.5751205184408,1.57048641173121,,0.619317496622325,26.33,5.22,70533,30.6,137.44,Normal
,,,,,,,24.01,3.69,10524,56.1,88.51,Shaded
3373,100,0.618054279626018,,1.80936181472064,5.10564788078851,0.537794241577435,29.11,1.01,28646,50.9,29.4,Dusted
,,,,,,,20.21,2.08,20904,44.6,42.08,Dusted
,,,,,,,29.35,0.06,67540,30.7,1.74,Open_Circuit
36,15.1132488228077,0.610617340038098,0,2.53305540113132,22.8493033546714,0.46087328059574,28.24,1.7,93822,39.3,48.01,Normal
856,20.1036996979006,0.810717525635287,0,0.14069591446864,23.2930058569185,0.558304543854219,36.43,6.7,50050,44,244.08,Normal
4105,0.216708430501622,0.610664054947524,0,2.15912995225359,5.36908716132118,0.581069744876186,25.35,2.52,92197,39.5,63.88,Normal
,,,,,,,24.87,4.27,19811,57.2,106.29,Dusted
4190,35.6176284292497,0.626605836285232,0,4.45324273872691,36.3677271984463,0.608985107701588,23.6,4.24,35178,38.1,100.06,Normal
,,,,,,,20.96,2.15,15601,39.9,45.08,Dusted
3457,48.0710028466263,0.474017811142349,0,3.60931613474539,53.1391266436911,0.497536126706527,19.73,0.3,58311,36.8,5.92,Normal
1161,40.249057958114,0.519012777017441,11.4813705835538,2.4750296272162,,0.56981001145764,31.06,2.47,4009,50.1,76.72,Shaded
4447,31.6947301008744,0.415013166970643,0,,,0.422239503173937,30.16,3.57,56780,53.3,107.67,Normal
19928,24.4838176224931,0.525872550632154,17.7969619371478,,29.7010272019164,0.538807724719594,21.13,7.07,27237,36.8,149.39,Dusted
1181,21.1922024772863,0.934975523063413,24.8913189716275,2.10248770772456,25.9066971407531,0.75964739279633,33.35,0.85,32972,46.2,28.35,Normal
1842,23.7023478288814,0.814297611797572,8.40823624742544,1.77021142366213,32.2475742382193,0.601305159324767,31.25,5.2,21965,44.8,162.5,Dusted
,,,,,,,26.35,0.15,72285,51,3.84,Open_Circuit
9024,27.1646292258841,0.890126516220208,6.19865735907796,1.82764420293107,30.195535359393,0.675185423829224,19.33,7.52,69791,55.1,145.36,Normal
12662,15.2664565372975,0.681297420661036,0,1.41318053672184,17.9843972201349,0.523963107963773,31.24,5.86,62759,25.6,183.07,Normal
17943,6.65917783570881,0.480631844110412,,2.21254045908233,9.54047720021456,0.53117970100995,33.31,0.27,92342,21.7,8.99,Normal
8300,137.036208832058,0.993345685689238,13.8751321051293,3.06320954779843,41.6203101276552,0.649818253638655,18.36,3.01,10867,36.2,55.26,Shaded
,,,,,,,21.27,0.08,56282,25.1,1.69,Open_Circuit
,,,,,,,21.65,0.04,77604,45.6,0.94,Open_Circuit
6445,26.0293597931285,0.913505618161949,8.82577281481723,4.11703995267729,31.1450551480185,0.752650896223235,22.19,0.93,60690,44.9,20.64,Normal
19850,32.7390541232595,0.543058634364697,,0.134762366198393,35.9364824442785,0.550586872447224,19.96,7.31,42625,23.5,145.91,Normal
4254,15.4838048117548,0.98618130520647,0,0.178740135218834,22.6677266557238,0.552284037971814,29.7,6.47,79656,30.6,192.16,Normal
,,,,,,,15.48,0.09,63217,53.3,1.33,Open_Circuit
,,,,,,,18.04,0.01,47555,57.1,0.1,Open_Circuit
5873,,0.416877889657641,9.9439343971959,3.37859276305982,32.2764951936112,0,19.44,6.86,41139,64.8,133.36,Normal
,,,,,,,34.14,0.01,51042,34.9,0.26,Open_Circuit
13920,14.8662611136615,0.664036862006534,11.831755485123,0.692570506990058,21.8568172743376,0.456381382363891,22.12,1.68,96161,50.5,37.16,Normal
11490,15.219002959216,0.663031485153446,,3.14849687000373,18.7684022590072,0.691382204144792,24.89,5.8,80852,48.8,144.36,Normal
,,,,,,,23.66,0.04,70184,25.2,0.95,Open_Circuit
,,,,,,,25.86,0.14,82734,44,3.51,Open_Circuit
,,,,,,,26.72,3.66,20176,44.5,97.8,Dusted
,,,,,,,18.97,0.13,36261,25.1,2.55,Open_Circuit
7843,9.97000062359966,0.564492093573332,0,0.916156371020586,15.9117107039119,0.47005466647804,21.74,3.27,91051,29.5,71.09,Normal
6162,32.9566276094433,0.485239431874684,32.6904687500716,0.787246835878086,38.3765060208108,0.491789322187601,25.05,2.29,94714,38.1,57.36,Normal
8167,30.7248348109397,0.642010280265248,26.2004977575721,0.425223036407982,33.6106503875455,0.509199595118841,26.92,2.67,88898,22.2,71.88,Normal
14354,24.0101341718166,0.815854922613272,51.0457033325304,1.39245772644868,27.2188644212042,0.363103042889648,20.09,1.47,46854,48.3,29.53,Normal
13759,19.8794436149817,0.744109308172097,0,1.00606329421462,21.1911828809234,0.63778204852686,25.52,4.51,89992,56.6,115.1,Normal
15573,39.0724282568574,0.740930660663269,0,1.19002303092161,42.2662543303767,0.459780936489823,21.58,2.4,70535,58.7,51.79,Normal
12782,26.0755440521031,0.465817956252041,0.949999812546345,3.95756797755293,31.0345658468036,0.615745993685368,27.54,0.72,98597,20.8,19.83,Normal
19722,22.6206628987712,0.715773944162107,0.534516490685379,1.64377118702332,30.5792947393698,0.539899858454868,30.81,5.18,66525,47.3,159.6,Normal
3453,19.356296810007,0.623570986012726,18.437816661373,3.36164214004425,24.8445962083145,0.638691633376761,33.42,2.09,22412,27.8,69.85,Dusted
,,,,,,,18.8,3.79,5694,47.9,71.24,Shaded
,,,,,,,24.99,0.13,67933,57.7,3.3,Open_Circuit
,,,,,,,23.39,0.14,50269,43.3,3.24,Open_Circuit
14321,19.7164751303256,0.548236661339463,,1.8386817247035,21.3354773753395,0.592433993718774,24.25,5.7,48356,25.4,138.22,Normal
7282,9.73713330219924,0.757256183965561,18.7294627629312,1.24234076696973,14.4538110707637,0.619423676554284,35.69,7.36,69417,64.8,262.68,Normal
,,,,,,,27.8,2.94,2239,56.1,81.87,Shaded
8057,28.9284704124137,0.772155815712986,0,3.25758418747351,35.2282804025191,0.664299385960346,27.22,7.28,74705,27.7,198.16,Normal
,,,,,,,24.36,3.11,22914,41,75.65,Dusted
6797,31.9283399857274,0.484470051612041,27.6180827495101,2.31617716704291,36.9427374726655,0.560301035592881,37.48,7.45,61128,48.7,279.23,Normal
15294,29.2765591251725,0.640202622757474,0,1.39676049147811,34.6663774801865,0.467419538939085,18.9,6.75,22221,30.3,127.57,Dusted
,,,,,,,34.15,0.12,47731,43.3,4.05,Open_Circuit
6252,52.43761512371,0.588034591145705,0.190044255685276,0.681112886859772,57.2491700414279,0.501779738149861,29.18,6.12,25103,63,178.58,Dusted
13955,17.3086479694167,0.821646897382177,53.6642082822156,0.256036024346476,20.1329724437757,0.556545761769088,35.8,6.83,39280,38.1,244.51,Normal
,,,,,,,25.89,3.98,10702,56.3,103.03,Shaded
,,,,,,,19.71,4.65,15923,45.8,91.71,Dusted
,,,,,,,20.66,0.07,54515,54,1.42,Open_Circuit
,,,,,,,18.06,3.13,2652,30,56.42,Shaded
,,,,,,,19.5,0.15,89818,41.1,2.88,Open_Circuit
10750,35.8044823018944,0.871297684212729,34.2458190343066,0.707022658019036,45.2758502875783,0,19.53,7.57,20435,53.9,147.84,Dusted
,,,,,,,25.08,3.03,12753,52.5,75.96,Shaded
15421,9.30380947114114,0.594108156979238,40.3345440391742,1.14994557823131,20.3731522707993,0.515995243977513,23.76,4.84,53538,38.9,115,Normal
7388,17.044203393728,0.982424765286717,0,1.35509471067946,23.8143335259336,0.309139520403897,28.97,2.4,88760,52.2,69.53,Normal
16277,37.8579448636783,0.937415398449182,14.9839933584273,0.283564141265205,39.154550945038,0.539210202756793,21.89,7.75,51535,35.9,169.65,Normal
1361,14.2994070955046,0.430055341901612,21.2264924448822,2.02862991935131,21.7633103349354,0.548939979572384,24.1,6.53,38025,32.2,157.37,Normal
,,,,,,,20.02,3.57,11266,35.3,71.41,Shaded
,,,,,,,27.91,1.92,13053,37.7,53.63,Shaded
,,,,,,,25.93,0.11,70932,41.6,2.82,Open_Circuit
9078,28.9952054755554,,0,3.10351206349815,,0.424295049123622,36.96,5.27,12988,43.5,194.78,Shaded
,,,,,,,28.5,2.92,13502,53.2,83.34,Shaded
,,,,,,,21.12,4.28,20233,25.1,90.36,Dusted
19394,14.2778441581853,0.845292651982862,5.20794584778158,1.38563985555345,25.4903715868941,0.592352408890003,37.01,3.47,19103,44.6,128.42,Dusted
,,,,,,,20.64,1.78,5249,42.7,36.71,Shaded
,,,,,,,29.41,3.14,11316,29.9,92.4,Shaded
,,,,,,,18.74,2.58,22489,59,48.29,Dusted
,,,,,,,26.02,3.09,7563,59.3,80.28,Shaded
424,24.134858406636,0.544767491381706,11.8395059875475,0.099319339297502,29.0630205109708,0.531209293796411,33.69,6.91,11450,38.5,232.8,Shaded
,,,,,,,24.58,4.97,18227,51.5,122.07,Dusted
4109,,0.947930359317312,1.49683435526504,0.723215316661072,18.5074691288525,0.57670922073956,29.9,6.42,28522,23.9,191.96,Dusted
,,,,,,,34.15,0.15,72032,34.7,5.08,Open_Circuit
,,,,,,,30.1,2.66,16707,41.1,79.92,Dusted
,,,,,,,24.71,0.08,43326,32.3,2.09,Open_Circuit
,,,,,,,28.4,2.73,26862,58.5,77.65,Dusted
1936,28.2462555871537,0.495797345987921,0,3.47515786485955,36.4499899090107,0.431516508110679,23.01,2.04,45355,48.3,46.94,Normal
,,,,,,,16.36,0.14,55586,42.1,2.32,Open_Circuit
5973,14.1890862357054,0.715440749350906,0,1.32492680889581,17.669181264883,0.585370236272532,25.6,3.32,86761,26.5,84.99,Normal
,,,,,,,17.99,1.53,12481,44,27.57,Shaded
9938,39.3727655612015,0.641057238378805,2.68634870855269,0.959223311516189,42.9650759298138,0,21.04,0.88,99842,55.5,18.52,Normal
,,,,,,,23.82,0.15,40178,58.8,3.53,Open_Circuit
4111,20.4461639758372,0.471361722480141,24.4300862863628,,19.7429196141248,0.596246590113268,34.26,4.44,15320,56.3,152.11,Dusted
,,,,,,,29.05,0.03,72172,48.2,0.99,Open_Circuit
11512,20.1523356952765,0.674045148636332,48.0848548622727,1.85820534736959,23.6216757224877,0.48950715595244,29.58,3.82,29724,42.1,113,Dusted
8919,17.7183036102189,0.77607333334333,0,0.917953798175428,20.4493517006852,0.416528948345538,36.98,6.19,97476,26.8,228.91,Normal
,,,,,,,27.36,0.13,81747,42.8,3.58,Open_Circuit
,,,,,,,22.12,3.27,3301,59,72.33,Shaded
,,,,,,,22.53,0.15,35972,42.1,3.35,Open_Circuit
16181,35.5617912935721,0.82405866295569,0,2.63459953432803,39.1360969046163,0.511886887101137,35.98,5.65,74425,34.9,203.29,Normal
,,,,,,,19.7,0.09,61229,32.1,1.78,Open_Circuit
10402,22.6010298884549,0.814227480297553,0,1.26550037158394,27.029660147855,0.522074317303871,27.54,1.98,61366,54.6,54.53,Normal
,,,,,,,25.03,0.03,77008,35.9,0.66,Open_Circuit
15605,23.6422411339733,0.544404261516997,0,0.455915060329175,29.5675767396491,0.473099561076152,37.29,3.22,85433,63.3,120.07,Normal
15034,46.9478346336011,0.520535682864132,23.7837080107037,4.09067124894922,53.4784311559694,0.623594415998956,30.11,7.85,18872,50.6,236.36,Dusted
,,,,,,,22.68,3.32,20988,55,75.42,Dusted
3504,11.1375176271009,0.907453714971876,22.3627918605887,1.19522533969908,18.8343616931595,0.61636032665355,20.82,1.2,52432,51.8,24.98,Normal
5437,17.3399612653926,0.482859869790135,6.58856948441334,0.740281160970341,22.3565780063834,0.519244894811025,37.56,7.04,98493,36.5,264.42,Normal
706,,0.497864167456471,0,0.281602453410577,34.0468754848547,0.427365832374892,21.07,0.99,71926,21.1,20.86,Normal
15119,0.180031173680575,0.71363382475724,0,0.831586474597922,2.9213744853934,0.460614224630787,32.13,7,22983,31.3,224.91,Dusted
,,,,,,,31.81,0.13,69799,27.4,4.09,Open_Circuit
,,,,,,,23.88,4.94,27815,50.7,118.04,Dusted
,,,,,,,17.63,2.8,5407,41.9,49.38,Shaded
2695,48.4606999040043,0.403317815280022,36.3124418334362,1.47879524508563,52.7348462688725,0.514818883611366,29.28,7.85,62710,50.5,229.85,Normal
11890,2.38122215142286,0.523986449676331,15.2330128041988,1.64523475938466,7.44193166507871,0.552899834835905,28.71,4.47,22955,43.7,128.33,Dusted
10070,28.2702217422407,0.735609023983535,51.6266719742259,1.25144473225393,30.1781318727373,0.631211753604778,36.85,1.91,77665,42.1,70.38,Normal
11478,20.5405843450914,0.712481861003489,5.97667918256023,3.12677741541959,19.0189919375812,0.53304869492757,28.42,7.64,7271,53.6,217.13,Shaded
14691,19.405462098324,0.993655840523489,0,0.48094513367796,22.6985857658079,0.596283493820396,35.2,1.35,21791,60,47.52,Dusted
9736,45.5312491492579,0.579847211168538,6.61159868821144,3.58030377042562,55.2704412420469,0.730348127445587,19.99,5.72,94881,55.6,114.34,Normal
,,,,,,,22.77,2.71,24143,28.8,61.69,Dusted
14397,25.2317661818212,0.7331174920149,,0.431784072684734,19.8085764205262,0.51604911244031,19.22,5.11,25929,55.4,98.21,Dusted
,,,,,,,24.41,3.78,4990,51.8,92.32,Shaded
6996,39.6110689274049,0.59465477869087,0,2.06356523678582,45.5696899873032,0.496890077625391,29.8,1.62,80707,39.1,48.28,Normal
,,,,,,,24.31,2.05,4416,37.3,49.87,Shaded
,,,,,,,15.02,0.11,60629,54.9,1.7,Open_Circuit
,,,,,,,24.42,4.62,15511,53.9,112.83,Dusted
,,,,,,,26.55,0.13,51580,52.4,3.54,Open_Circuit
14086,,0.581783685627617,30.7547923722737,0.719216771149877,16.3403304959702,0,32.27,6.9,90296,30,222.66,Normal
1429,26.941002534433,0.468474218500283,,1.80508309109393,31.5450281780026,0.622383845125507,35.77,7.31,68774,39.1,261.48,Normal
5080,19.6299389645879,0.451597577022017,8.43529843534846,0.272478734925238,21.5709828573937,0.559205486244247,23.66,0.11,71294,34.4,2.6,Open_Circuit
18852,45.2754742039723,0.937145779596206,0,,49.9264560023861,0.467969430151743,31.9,2.11,19515,24.8,67.31,Dusted
13207,21.2250189125882,0.465798354740654,0,0.478736096963978,26.9749482701613,0.700044591829474,18.1,5.73,81420,28.7,103.71,Normal
,,,,,,,17.95,0.06,63287,38.4,1.01,Open_Circuit
5062,19.0435728829273,0.423699033288764,33.2265516155213,0.416722711758688,25.033350642775,0.398925874607612,29.56,2.46,74648,27.1,72.72,Normal
,,,,,,,22.63,0.01,84416,52.5,0.22,Open_Circuit
5225,125.316242211253,0.481142044316631,39.9306016411655,0.0532905498240565,32.5634301492461,0.54159164033998,23.36,4.57,68120,33,106.76,Normal
1347,18.4816996162227,0.977369665377091,2.6986344199027,0.112936859781388,22.8385594503262,0.549512157609496,34.88,7.68,69815,36.4,267.88,Normal
7176,38.6951313585694,0.467881182689984,16.3826267904582,2.16577818685378,40.1144666110209,0.44111188594421,32.52,3.36,10945,62.3,109.27,Shaded
18255,34.5191462877727,0.890780819505667,7.83279307222806,5.16118827337945,42.3431080807683,0.762835256511378,24.35,7.24,7583,57.2,176.29,Shaded
7281,15.5878921338508,0.469042942204088,22.0823553836921,1.46841834322672,24.013040993701,0.421005757805621,32.04,0.56,95110,40.1,17.94,Normal
,,,,,,,25,0.09,38446,36.9,2.32,Open_Circuit
5780,7.37317733227201,0.800463114250734,10.7908386246858,1.09227915998606,6.84987098805203,0.556980600121535,20.77,5.13,21885,52.4,106.55,Dusted
4148,34.2955800428828,0.769823726092393,0,0.350768196327183,35.6438320780474,0.58373033078754,27.3,2.65,56992,57.1,72.34,Normal
4761,9.9761760941819,0.73497187056748,77.6360517072005,4.32592092229923,16.0236217082816,0.744339454207162,25.55,3.78,87823,55.4,96.58,Normal
15309,12.0136137356691,0.819167184712048,0,1.56575113801146,15.5944414279062,0.48522409424023,30.66,3.41,49464,43.9,104.55,Normal
4840,28.5831136282223,0.437117533460835,34.8824965447566,3.54101236545741,33.2417078863092,0.535226965577955,36.58,4.58,91049,51,167.54,Normal
,,,,,,,16.92,2.82,3739,47.3,47.79,Shaded
,,,,,,,25.84,3.82,9385,38.7,98.73,Shaded
14265,24.1004211072452,0.504632197723264,0,0.26964441443201,27.582999535148,0.466363532727229,22.24,4.67,94746,25.9,103.86,Normal
,,,,,,,21.56,0.07,53805,44.3,1.44,Open_Circuit
14110,13.5343217429209,0.877643318909659,48.7033560254611,2.12495135265956,16.2333906913189,0.826991575480665,29.6,7.9,11533,22.9,233.84,Shaded
17485,12.5822800884066,0.453678267185199,4.06621573014194,1.1019560055954,16.982904400637,0.453762458011817,24.24,6.84,23169,58.7,165.8,Dusted
17389,12.3725828753946,0.634453153754273,30.5290073538403,1.33257093405355,19.2764757421485,0.458780506026844,26.5,0.49,53726,49,12.98,Normal
10151,20.8253880135892,0.527345300663202,56.4301301673872,3.03200046967705,31.3474320788583,0.499284027284462,35.43,4.98,7012,38,176.44,Shaded
6703,37.9961278795904,0.79310075743523,32.6121376433623,0.054320950561137,43.6465873408764,0.676952039389501,30.18,3.66,15845,56.2,110.46,Dusted
,,,,,,,19.09,0.01,60066,56.5,0.14,Open_Circuit
7119,20.0420474713544,0.794904611907374,0,1.65454144973346,21.345977665088,0.433795284359717,29.31,0.48,41762,63.6,14.07,Normal
5679,22.6814034300841,0.656538873960073,12.0444246850642,1.39151783750926,25.819994547701,0.572897723857868,23.27,0.13,30765,22.1,3.03,Open_Circuit
2323,49.7124110504588,0.570073376638149,24.9958926727737,3.28107510891348,59.4843229598923,0.427262430500949,22.49,2.33,43329,21.8,52.4,Normal
,,,,,,,34.33,0.01,49490,28,0.21,Open_Circuit
5218,33.1062305001536,0.701463364339086,0,1.11777374283972,40.1171607782289,0.614409095201062,21.58,7.79,38222,60.1,168.11,Normal
,,,,,,,31.79,4.45,15938,58.6,141.52,Dusted
4986,31.0649621393196,0.783191382061804,16.6755365496861,0.0218388370876629,37.8840251290651,0.532851180696209,33.18,7.89,2048,25.9,261.79,Shaded
4951,23.2111592480218,0.430702613838669,8.11899217920476,,25.6744967731218,0.439969344463968,26.38,6.1,63802,44.5,160.92,Normal
,,,,,,,17.67,3.37,3389,32,59.52,Shaded
,,,,,,,21.39,0.04,32341,48.5,0.78,Open_Circuit
5485,28.8220591551892,0.508753096883883,34.8006425902512,3.22928330792464,33.171029298251,0.524965472374069,31.84,5.54,61786,52.3,176.39,Normal
10504,37.0909154167415,0.73050059794425,31.65356651265,3.24103083048302,39.5641289704508,0.592536495149827,20.28,7.17,6296,49.4,145.41,Shaded
19199,11.8677122097715,0.461725833402124,40.5144417933504,3.99949976357903,16.8836120962074,0.350951257803838,20.14,5.17,5887,28.6,104.12,Shaded
4127,13.4366078485849,0.783849669651307,4.99487823031803,1.17516845541981,18.0066196629527,0.53004979555398,30.3,4.2,77490,33.5,127.26,Normal
,,,,,,,22.18,0,78827,39.6,0.01,Open_Circuit
,,,,,,,33.3,0.05,32234,52.9,1.53,Open_Circuit
,,,,,,,19.26,4.94,23933,28.9,95.15,Dusted
,,,,,,,24.8,3.63,18501,52.2,89.99,Dusted
,,,,,,,21.69,3.64,4195,52.9,79.02,Shaded
,,,,,,,20.89,3.57,5131,47.2,74.63,Shaded
5396,32.2633717680305,0.488509371830968,0,2.31758848628864,39.1305011910289,0.530812311267858,28.46,6.48,16059,63.8,184.42,Dusted
10991,38.5424897032379,0.909084972668261,40.6309331569631,2.7809299546029,46.1423037963674,0.807410466011511,24.89,2.2,24076,21.9,54.76,Dusted
7020,17.2885023673833,0.824963258294139,32.7780679339969,3.30051938209521,27.4971152414394,0.597187917092856,35.85,1.66,3372,54,59.51,Shaded
,,,,,,,23.15,4.03,20083,50.3,93.23,Dusted
1507,23.4287219436792,0.586613377212752,22.3799677735494,2.85509819694071,23.0167072345842,0.416105527224246,21.34,0.54,59863,32,11.52,Normal
,,,,,,,15.43,0.05,81545,59.5,0.77,Open_Circuit
,,,,,,,23.1,3.81,2549,29.8,88.05,Shaded
5479,20.7305074614298,0.605790791784593,6.34494495658767,1.8573334973102,24.531288946611,0.451865648847048,34.29,6.42,79904,22.3,220.14,Normal
,,,,,,,31.88,0.02,37255,43.5,0.53,Open_Circuit
14679,29.3387675517951,0.713025714572782,0,0.0983877942913916,37.8721666649777,0.34823201233229,26.2,0.69,87490,21.5,18.08,Normal
3950,32.6179025520061,0.898761851671758,0,0.413316413710517,32.0249668171711,0.464041270323401,32.37,3.1,35057,58.6,100.35,Normal
,,,,,,,23.15,3.31,12885,55.3,76.6,Shaded
12761,31.1502646419975,0.945258817263741,6.92918503541763,0.680512355819132,35.6663180502047,0.488635135575074,37.34,2.05,59279,50.1,76.55,Normal
8404,26.2170643726801,0.93845956881754,4.08559423393545,,36.8377020558854,0.598124144991402,35.47,7.23,37271,61,256.45,Normal
14857,31.4226362080646,0.412168979427565,18.5752650989899,2.69580367110095,41.261693513705,0.507243279791157,31.48,1.15,57994,45.5,36.2,Normal
,,,,,,,26.86,0.13,73975,37.4,3.39,Open_Circuit
,,,,,,,27.21,2.66,5148,44.2,72.33,Shaded
,,,,,,,30.95,0.08,45222,41.7,2.63,Open_Circuit
19176,11.4871678682954,0.631602450315336,27.3225921617347,1.01475909800468,14.8505395291933,0.497092112695723,27.09,3.86,91027,31.8,104.57,Normal
14280,30.1689130830513,0.638371689950634,20.8528743342331,1.77439700022209,34.1329263141324,0.610322210033045,24.3,3.11,69040,41.5,75.57,Normal
,,,,,,,27.22,2.83,9072,28.7,77.14,Shaded
4007,28.2428899151105,0.964827352676053,44.1931308797837,1.84486111125759,33.6398978759781,0.69390339481762,30.86,6.29,78841,40,194.11,Normal
,,,,,,,19.65,3.96,15239,33.5,77.81,Dusted
,,,,,,,24.56,0.06,69146,44,1.56,Open_Circuit
,,,,,,,31.01,0.08,56324,29.2,2.35,Open_Circuit
13023,29.7664803619928,0.627722740547805,51.8321981129327,0.955594526311272,30.4627245827082,0.712350494956616,36.06,6.44,64519,25.3,232.23,Normal
4758,0,0.462040761564909,0,0.0879225334475152,1.8950468397161,0.396151108419479,22.81,6.84,21813,50.6,156.02,Dusted
,,,,,,,26.89,0.01,84519,58.3,0.2,Open_Circuit
,,,,,,,22.82,0.03,39820,46.9,0.71,Open_Circuit
2443,26.1685993630832,0.750234015537358,10.2468664818497,0.329515559197598,32.0467207322559,0.718540038283975,33.2,0.59,13752,29.8,19.59,Shaded
16458,16.1046237992464,0.741282061050534,33.8539337314503,0.769007196623052,18.6540832338617,0.451178101906804,21.32,5.73,20595,57.5,122.16,Dusted
,,,,,,,31.7,0.07,41836,38.1,2.21,Open_Circuit
,,,,,,,16.52,2.36,3431,49.4,39.05,Shaded
18796,25.6293992678887,0.416859778845422,5.03660369576607,0.78493650203842,32.6869649098621,0.387513520216984,26.09,3.24,37265,36.1,84.53,Normal
13171,0,0.842249829908218,14.1588878047712,1.65072368010842,,0.548289162301512,32.88,6.76,78550,47.6,222.27,Normal
8545,3.93782143969217,0.655334546690418,3.67624371461338,0.902292278156188,,0.442697414905064,37.75,5.42,79973,37.7,204.6,Normal
,,,,,,,24.67,3,6607,27,74.06,Shaded
4743,3.20783469253857,0.43619150063921,35.7131335219942,0.895169367287645,1.47015593597061,0.561011050714343,18.32,7.75,59908,33.8,141.98,Normal
18129,35.856913342343,0.708840248679157,8.59022928463656,1.38735747429425,45.910316399406,0.504028896961165,37.51,4.68,8373,61.4,175.55,Shaded
17082,25.6187909440297,0.585458109825743,0,0.745118808186047,27.5930040264511,0.528849867716412,36.32,0.46,62879,62.2,16.71,Normal
,,,,,,,28,0.1,30291,43.3,2.72,Open_Circuit
,,,,,,,26.67,3.84,4311,35.7,102.43,Shaded
,,,,,,,18.03,0,87611,30.4,0.05,Open_Circuit
17402,24.6158572126472,0.967541064179207,9.07640727703357,0.666753609024159,29.3533236561249,0.520323518386078,22.78,1.78,71257,41.9,40.55,Normal
16565,28.4233936400008,0.848209070988837,13.087917094769,0.523909565687116,33.013346042175,0.54156252349367,37.55,5.49,67262,63.1,206.15,Normal
16069,26.549088588389,0.644284319449256,19.6636759078554,0.405699655597639,33.7032357212789,0.47254600871212,34.32,1.89,99800,63.6,64.86,Normal
,,,,,,,27.33,0.02,88507,33.3,0.52,Open_Circuit
,,,,,,,20.91,0.02,37237,39.7,0.43,Open_Circuit
4545,7.55925376452925,0.500534761010873,33.3150781137376,0.0613194193540946,16.5924063118208,0.386206764339654,23.09,1.29,40135,58.6,29.79,Normal
1777,30.4095870651848,0.744918308511475,15.5411801010961,1.84975627263199,37.0971790543417,0.4732871299071,25.08,7.27,2722,39.2,182.33,Shaded
,,,,,,,28.45,0.15,62959,25.7,4.2,Open_Circuit
